appid,name,recommendations,is_free,price,api_currency,genre,free_or_paid,price_efficiency
1808500,ARC Raiders,167848,False,39.99,USD,Action,Paid,4094.852403025128
2344520,Diablo® IV,44458,False,49.99,USD,Action,Paid,871.8964502843694
230410,Warframe,2883,True,0.0,,Action,Free,2883.0
730,Counter-Strike 2,4814602,True,0.0,,Action,Free,4814602.0
4124950,Ashes of Creation,2585,False,42.49,USD,Action,Paid,59.43895148309956
2694490,Path of Exile 2,145104,False,29.99,USD,Action,Paid,4682.284607938045
252490,Rust,1078332,False,9.49,USD,Action,Paid,102796.18684461391
3159330,Assassin’s Creed Shadows,26843,False,34.99,USD,Action,Paid,745.84606835232
1984270,Digimon Story Time Stranger,12349,False,55.99,USD,RPG,Paid,216.6871380944025
2592160,Dispatch,126648,False,29.99,USD,Action,Paid,4086.7376573088095
2050650,Resident Evil 4,133716,False,15.99,USD,Action,Paid,7870.276633313713
1085660,Destiny 2,132884,True,0.0,,Action,Free,132884.0
553850,HELLDIVERS™ 2,787251,False,39.99,USD,Action,Paid,19205.928275189068
3472040,NBA 2K26,6680,False,35.99,USD,Sports,Paid,180.58934847256015
1501750,Lords of the Fallen,31325,False,14.99,USD,Action,Paid,1959.0368980612882
236390,War Thunder,1946,True,0.0,,Action,Free,1946.0
1304930,The Outlast Trials,67903,False,11.99,USD,Action,Paid,5227.328714395689
275850,No Man's Sky,294885,False,10.79,USD,Action,Paid,25011.45038167939
518790,theHunter: Call of the Wild™,156776,False,2.19,USD,Adventure,Paid,49146.0815047022
1172470,Apex Legends™,1571,True,0.0,,Action,Free,1571.0
1812450,Bellwright,13369,False,19.79,USD,Action,Paid,643.0495430495431
2622380,ELDEN RING NIGHTREIGN,113083,False,39.99,USD,Action,Paid,2758.794828006831
2958130,Jurassic World Evolution 3,5514,False,47.99,USD,Simulation,Paid,112.5535823637477
381210,Dead by Daylight,627967,False,19.99,USD,Action,Paid,29917.43687470224
594650,Hunt: Showdown 1896,202768,False,13.49,USD,Action,Paid,13993.650793650793
2357570,Overwatch® 2,236,True,0.0,,Action,Free,236.0
3405690,EA SPORTS FC™ 26,26385,False,39.99,USD,Simulation,Paid,643.6935838009271
3606480,Call of Duty®: Black Ops 7,2508,False,69.99,USD,Action,Paid,35.32891956613608
502500,ACE COMBAT™ 7: SKIES UNKNOWN,40908,False,4.79,USD,Action,Paid,7065.284974093264
1190970,House Flipper 2,13558,False,23.99,USD,Casual,Paid,542.5370148059224
1401590,Disney Dreamlight Valley,20435,False,39.99,USD,Action,Paid,498.5362283483776
440,Team Fortress 2,45544,True,0.0,,Action,Free,45544.0
